name,date,open,high,low,close,volume
GOOGL,21-Dec-2015,763.049988,771.900024,754.150024,765.840027,1402400
GOOGL,28-Dec-2015,770,798.690002,767.72998,778.01001,1634200
AAPL,02-Jan-2015,111.389999,111.440002,107.349998,109.330002,53204600
AAPL,05-Jan-2015,108.290001,113.25,104.629997,112.010002,56650500
AAPL,12-Jan-2015,112.599998,112.800003,105.199997,105.989998,60721400
AAPL,20-Jan-2015,107.839996,113.75,106.5,112.980003,49684200
AAPL,26-Jan-2015,113.739998,120,109.029999,117.160004,93168500
AAPL,02-Feb-2015,118.050003,120.510002,116.080002,118.93,54151400
AAPL,09-Feb-2015,118.550003,127.480003,118.43,127.080002,60641300
AAPL,17-Feb-2015,127.489998,129.5,126.919998,129.5,48588700
AAPL,23-Feb-2015,130.020004,133.600006,126.610001,128.460007,73643200
AAPL,02-Mar-2015,129.25,130.279999,125.760002,126.599998,49387700
AAPL,09-Mar-2015,127.959999,129.570007,121.629997,123.589996,65302800
AAPL,16-Mar-2015,123.879997,129.25,122.870003,125.900002,53334500
AAPL,23-Mar-2015,127.120003,128.039993,122.599998,123.25,41865200
AAPL,30-Mar-2015,124.050003,126.489998,123.099998,125.32,40507900
AAPL,06-Apr-2015,124.470001,128.119995,124.330002,127.099998,36441500
AAPL,13-Apr-2015,128.369995,128.570007,124.459999,124.75,34237200
AAPL,20-Apr-2015,125.57,130.630005,125.169998,130.279999,41488100
AAPL,27-Apr-2015,132.309998,134.539993,124.580002,128.949997,84194400
AAPL,04-May-2015,129.5,130.570007,123.360001,127.620003,54378400
AAPL,11-May-2015,127.389999,129.490005,124.82,128.770004,41660300
AAPL,18-May-2015,128.380005,132.970001,128.360001,132.539993,43459400
AAPL,26-May-2015,132.600006,132.910004,129.119995,130.279999,49537100
AAPL,01-Jun-2015,130.279999,131.389999,128.360001,128.649994,34149300
AAPL,08-Jun-2015,128.899994,130.179993,125.620003,127.169998,44022900
AAPL,15-Jun-2015,126.099998,128.309998,125.709999,126.599998,39705000
AAPL,22-Jun-2015,127.489998,129.800003,126.510002,126.75,39118800
AAPL,29-Jun-2015,125.459999,126.940002,124.480003,126.440002,37745400
AAPL,06-Jul-2015,124.940002,126.230003,119.220001,123.279999,54988900
